"Catalog Number","Additional Identifier Values","Collector","Associated Collectors","Number","Date","Verbatim Date","Year","Month","Day","Day of year range","Scientific Name","Author","Identification Qualifier","Family","Identified By","Date Identified","ID References","ID Remarks","Taxon Remarks","Country","State/Province","Muncipality","Locality","Location ID","Locality Security","Latitude","Longitude","Uncertainty (meters)","Datum","Verbatim Coordinates","Elevation in Meters","Verbatim Elevation","Depth in Meters","Verbatim Depth","Georeferenced By","Georeference Protocol","Georeference Sources","Georef Verification Status","Georeference Remarks","Habitat","Substrate","Associated Taxa","Description","Notes","Dynamic Properties","Life Stage","Sex","Individual Count","Sampling Protocol","Preparations","Phenology","Establishment Means","Cultivated Checkbox","Type Status","Disposition","Occurrence Id","Field Number","Owner Code","Basis of Record","Language","Processing Status","Label Project","Duplicate Quantity"
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2843,2023-06-08,"06.08.2023",2023,6,8,NA,"Delphinium andersonii A. Gray","A. Gray",NA,"Ranunculaceae","RCB",2023-06-15,"Intermountain Flora",NA,NA,"U.S.A.","Oregon",NA,"1.2mi at 350° from Hay lk.",NA,NA,43.4902,-119.7907,"+/- 5m'","WGS84",NA,"1,400","1,400",NA,NA,NA,NA,NA,NA,NA,"Silty south facing sagebrush slopes",NA,"Artemisia tridentata ssp. wyomingensis, Poa secunda, Eriocoma thurberiana, Elymus elymoides, Ionactis alpina, Crepis acuminata, Phlox hoodii, Delphinium andersonii, Alyssum desertorum, Lewisia rediviva, Antennaria dimorpha, Eriogonum ovalifolium, Phlox longifolia, Bromus tectorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2844,2023-06-08,"06.08.2023",2023,6,8,NA,"Astragalus filipes Torr. ex A. Gray","Torr. ex A. Gray",NA,"Fabaceae","RCB",2023-06-15,"Intermountain Flora",NA,NA,"U.S.A.","Oregon",NA,"1.7mi at 267° from Juniper Ridge.",NA,NA,43.5005,-119.7843,"+/- 5m'","WGS84",NA,"1,419","1,419",NA,NA,NA,NA,NA,NA,NA,"Shoulder of hill, gravely silty-sandy soils",NA,"Artemisia tridentata ssp. wyomingensis, Poa secunda, Eriocoma thurberiana, Elymus elymoides, Phlox hoodii, Phlox longifolia, Linanthus sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2845,2023-06-08,"06.08.2023",2023,6,8,NA,"Phlox hoodii Richardson","Richardson",NA,"Polemoniaceae","RCB",2023-06-15,"Flora of the PNW",NA,NA,"U.S.A.","Oregon",NA,"1.7mi at 267° from Juniper Ridge.",NA,NA,43.5005,-119.7843,"+/- 5m'","WGS84",NA,"1,419","1,419",NA,NA,NA,NA,NA,NA,NA,"Shoulder of hill, gravely silty-sandy soils",NA,"Artemisia tridentata ssp. wyomingensis, Poa secunda, Eriocoma thurberiana, Elymus elymoides, Phlox hoodii, Phlox longifolia, Linanthus sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2846,2023-06-08,"06.08.2023",2023,6,8,NA,"Lupinus caudatus Kellogg","Kellogg",NA,"Fabaceae","RCB",2023-06-15,"Flora of Oregon",NA,NA,"U.S.A.","Oregon",NA,"2.1mi at 183° from Chickahominy rsvr.",NA,NA,43.5385,-119.6396,"+/- 5m'","WGS84",NA,"1,324","1,324",NA,NA,NA,NA,NA,NA,NA,"Alluvial fan",NA,"Artemisia tridentata ssp. wyomingensis, Pseudoroegneria spicata, Poa secunda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2847,2023-06-09,"06.09.2023",2023,6,9,NA,"Penstemon deustus Douglas","Douglas",NA,"Plantaginaceae","RCB",2023-06-15,"Intermountain Flora",NA,NA,"U.S.A.","Oregon",NA,"0.9mi at 169° from Elliott cnyn.",NA,NA,43.5346,-119.3847,"+/- 5m'","WGS84",NA,"1,363","1,363",NA,NA,NA,NA,NA,NA,NA,"Basalt scablands",NA,"Artemisia arbuscula, Poa secunda, Eriogonum sphaerocephalum, Festuca idahoensis, Alyssum desertorum, Blepharippaus scaber, Crepis occidentalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2848,2023-06-10,"06.10.2023",2023,6,10,NA,"Erigeron linearis (Hook.) Piper","(Hook.) Piper",NA,"Asteraceae","RCB",2023-06-15,"Intermountain Flora",NA,NA,"U.S.A.","Oregon",NA,"1.1mi at 221° from Road lk.",NA,NA,43.0247,-118.6333,"+/- 5m'","WGS84",NA,"1,400","1,400",NA,NA,NA,NA,NA,NA,NA,"Gravelly lithosols on rim of a basalt mesa",NA,"Erigeron linearis, Lomatium cous, Balsamorhiza hookeri, Scuttelaria antirrhinoides, S. nana, Bromus tectorum, Penstemon deustus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2849,2023-06-10,"06.10.2023",2023,6,10,NA,"Lomatium cous (S. Watson) J.M. Coult. & Rose","(S. Watson) J.M. Coult. & Rose",NA,"Apiaceae","RCB",2023-06-15,"Intermountain Flora",NA,NA,"U.S.A.","Oregon",NA,"1.1mi at 221° from Road lk.",NA,NA,43.0247,-118.6333,"+/- 5m'","WGS84",NA,"1,400","1,400",NA,NA,NA,NA,NA,NA,NA,"Gravelly lithosols on rim of a basalt mesa",NA,"Erigeron linearis, Lomatium cous, Balsamorhiza hookeri, Scuttelaria antirrhinoides, S. nana, Bromus tectorum, Penstemon deustus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2850,2023-06-10,"06.10.2023",2023,6,10,NA,"Scutellaria nana A. Gray","A. Gray",NA,"Lamiaceae","RCB",2023-06-15,"Flora of the PNW",NA,NA,"U.S.A.","Oregon",NA,"1.1mi at 221° from Road lk.",NA,NA,43.0247,-118.6333,"+/- 5m'","WGS84",NA,"1,400","1,400",NA,NA,NA,NA,NA,NA,NA,"Gravelly lithosols on rim of a basalt mesa",NA,"Erigeron linearis, Lomatium cous, Balsamorhiza hookeri, Scuttelaria antirrhinoides, S. nana, Bromus tectorum, Penstemon deustus","Corolla creamy white-yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2851,2023-06-10,"06.10.2023",2023,6,10,NA,"Diplacus nanus (Hook. & Arn.) G.L. Nesom","(Hook. & Arn.) G.L. Nesom",NA,"Phrymaceae","RCB",2023-06-15,"Intermountain Flora",NA,NA,"U.S.A.","Oregon",NA,"1.1mi at 221° from Road lk.",NA,NA,43.0247,-118.6333,"+/- 5m'","WGS84",NA,"1,400","1,400",NA,NA,NA,NA,NA,NA,NA,"Gravelly lithosols on rim of a basalt mesa",NA,"Erigeron linearis, Lomatium cous, Balsamorhiza hookeri, Scuttelaria antirrhinoides, S. nana, Bromus tectorum, Penstemon deustus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2852,2023-06-10,"06.10.2023",2023,6,10,NA,"Allium parvum Kellogg","Kellogg",NA,"Amaryllidaceae","RCB",2023-06-15,"Flora of Oregon",NA,NA,"U.S.A.","Oregon",NA,"1.1mi at 221° from Road lk.",NA,NA,43.0247,-118.6333,"+/- 5m'","WGS84",NA,"1,400","1,400",NA,NA,NA,NA,NA,NA,NA,"Gravelly lithosols on rim of a basalt mesa",NA,"Erigeron linearis, Lomatium cous, Balsamorhiza hookeri, Scuttelaria antirrhinoides, S. nana, Bromus tectorum, Penstemon deustus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2853,2023-06-10,"06.10.2023",2023,6,10,NA,"Erythranthe breweri (Greene) G.L. Nesom & N.S. Fraga","(Greene) G.L. Nesom & N.S. Fraga",NA,"Phrymaceae","RCB",2023-06-15,"Intermountain Flora",NA,NA,"U.S.A.","Oregon",NA,"1.1mi at 221° from Road lk.",NA,NA,43.0247,-118.6333,"+/- 5m'","WGS84",NA,"1,400","1,400",NA,NA,NA,NA,NA,NA,NA,"Gravelly lithosols on rim of a basalt mesa",NA,"Erigeron linearis, Lomatium cous, Balsamorhiza hookeri, Scuttelaria antirrhinoides, S. nana, Bromus tectorum, Penstemon deustus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2854,2023-06-10,"06.10.2023",2023,6,10,NA,"Dimeresia howellii A. Gray","A. Gray",NA,"Asteraceae","RCB",2023-06-15,"Intermountain Flora",NA,NA,"U.S.A.","Oregon",NA,"1.1mi at 221° from Road lk.",NA,NA,43.0247,-118.6333,"+/- 5m'","WGS84",NA,"1,400","1,400",NA,NA,NA,NA,NA,NA,NA,"Gravelly lithosols on rim of a basalt mesa",NA,"Erigeron linearis, Lomatium cous, Balsamorhiza hookeri, Scuttelaria antirrhinoides, S. nana, Bromus tectorum, Penstemon deustus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2855,2023-06-10,"06.10.2023",2023,6,10,NA,"Valerianella locusta (L.) Laterr.","(L.) Laterr.",NA,"Haloragaceae","RCB",2023-06-15,"Intermountain Flora",NA,NA,"U.S.A.","Oregon",NA,"1.1mi at 221° from Road lk.",NA,NA,43.0247,-118.6333,"+/- 5m'","WGS84",NA,"1,400","1,400",NA,NA,NA,NA,NA,NA,NA,"Gravelly lithosols on rim of a basalt mesa",NA,"Erigeron linearis, Lomatium cous, Balsamorhiza hookeri, Scuttelaria antirrhinoides, S. nana, Bromus tectorum, Penstemon deustus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2856,2023-06-10,"06.10.2023",2023,6,10,NA,"Agoseris heterophylla (Nutt.) Greene","(Nutt.) Greene",NA,"Asteraceae","RCB",2023-06-15,"Intermountain Flora",NA,NA,"U.S.A.","Oregon",NA,"1.1mi at 221° from Road lk.",NA,NA,43.0247,-118.6333,"+/- 5m'","WGS84",NA,"1,400","1,400",NA,NA,NA,NA,NA,NA,NA,"Gravelly lithosols on rim of a basalt mesa",NA,"Erigeron linearis, Lomatium cous, Balsamorhiza hookeri, Scuttelaria antirrhinoides, S. nana, Bromus tectorum, Penstemon deustus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2857,2023-06-10,"06.10.2023",2023,6,10,NA,"Phacelia linearis (Pursh) Holz.","(Pursh) Holz.",NA,"Hydrophyllaceae","RCB",2023-06-15,"Intermountain Flora",NA,NA,"U.S.A.","Oregon",NA,"1.1mi at 221° from Road lk.",NA,NA,43.0247,-118.6333,"+/- 5m'","WGS84",NA,"1,400","1,400",NA,NA,NA,NA,NA,NA,NA,"Gravelly lithosols on rim of a basalt mesa",NA,"Erigeron linearis, Lomatium cous, Balsamorhiza hookeri, Scuttelaria antirrhinoides, S. nana, Bromus tectorum, Penstemon deustus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2858,2023-06-10,"06.10.2023",2023,6,10,NA,"Lomatium triternatum (Pursh) J.M. Coult. & Rose","(Pursh) J.M. Coult. & Rose",NA,"Apiaceae","RCB",2023-06-15,NA,NA,NA,"U.S.A.","Oregon",NA,"3mi at 76° from Kueny cnyn.",NA,NA,42.6927,-118.9401,"+/- 5m'","WGS84",NA,"1,630","1,630",NA,NA,NA,NA,NA,NA,NA,"Open slightly rocky sage-juniper meadow",NA,"Artemisia tridentata var. wyomingensis, Juniperus occidentalis, Poa secunda, Crepis intermedia, P. bulbosa, Blepharipappus scaber, Lappula sp., Eremogone sp., Bromus tectorum, Eriophyllum lanatum, Penstemon deustus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2859,2023-06-10,"06.10.2023",2023,6,10,NA,"Eremogone kingii (S. Watson) Ikonn. var. glabrescens (S. Watson) Dorn","(S. Watson) Dorn",NA,"Caryophyllaceae","RCB",2023-06-15,NA,NA,NA,"U.S.A.","Oregon",NA,"3mi at 76° from Kueny cnyn.",NA,NA,42.6927,-118.9401,"+/- 5m'","WGS84",NA,"1,630","1,630",NA,NA,NA,NA,NA,NA,NA,"Open slightly rocky sage-juniper meadow",NA,"Artemisia tridentata var. wyomingensis, Juniperus occidentalis, Poa secunda, Crepis intermedia, P. bulbosa, Blepharipappus scaber, Lappula sp., Eremogone sp., Bromus tectorum, Eriophyllum lanatum, Penstemon deustus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2860,2023-06-10,"06.10.2023",2023,6,10,NA,"Clarkia breweri (A. Gray) Greene","(A. Gray) Greene",NA,"Onagraceae","RCB",2023-06-15,NA,NA,NA,"U.S.A.","Oregon",NA,"3mi at 76° from Kueny cnyn.",NA,NA,42.6927,-118.9401,"+/- 5m'","WGS84",NA,"1,630","1,630",NA,NA,NA,NA,NA,NA,NA,"Open slightly rocky sage-juniper meadow",NA,"Artemisia tridentata var. wyomingensis, Juniperus occidentalis, Poa secunda, Crepis intermedia, P. bulbosa, Blepharipappus scaber, Lappula sp., Eremogone sp., Bromus tectorum, Eriophyllum lanatum, Penstemon deustus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2861,2023-06-10,"06.10.2023",2023,6,10,NA,"Penstemon rydbergii A. Nelson var. rydbergii","A. Nelson",NA,"Plantaginaceae","RCB",2023-06-15,NA,NA,NA,"U.S.A.","Oregon",NA,"3mi at 76° from Kueny cnyn.",NA,NA,42.6927,-118.9401,"+/- 5m'","WGS84",NA,"1,630","1,630",NA,NA,NA,NA,NA,NA,NA,"Open slightly rocky sage-juniper meadow",NA,"Artemisia tridentata var. wyomingensis, Juniperus occidentalis, Poa secunda, Crepis intermedia, P. bulbosa, Blepharipappus scaber, Lappula sp., Eremogone sp., Bromus tectorum, Eriophyllum lanatum, Penstemon deustus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2862,2023-06-10,"06.10.2023",2023,6,10,NA,"Poa secunda J. Presl","J. Presl",NA,"Poaceae","RCB",2023-06-15,NA,NA,NA,"U.S.A.","Oregon",NA,"3.5mi at 87° from Roaring Springs.",NA,NA,42.6651,-118.9185,"+/- 5m'","WGS84",NA,"1,681","1,681",NA,NA,NA,NA,NA,NA,NA,"Open slightly rocky sage-juniper meadow",NA,"Artemisia tridentata var. wyomingensis, Juniperus occidentalis, Poa secunda, Festuca idahoensis, Poa bulbosa, Microsteris sp., Agoseris sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2863,2023-06-10,"06.10.2023",2023,6,10,NA,"Crepis intermedia A. Gray","A. Gray",NA,"Asteraceae","RCB",2023-06-15,"Intermountain Flora",NA,NA,"U.S.A.","Oregon",NA,"3mi at 76° from Kueny cnyn.",NA,NA,42.6927,-118.9401,"+/- 5m'","WGS84",NA,"1,630","1,630",NA,NA,NA,NA,NA,NA,NA,"Open slightly rocky sage-juniper meadow",NA,"Artemisia tridentata var. wyomingensis, Juniperus occidentalis, Poa secunda, Crepis intermedia, P. bulbosa, Blepharipappus scaber, Lappula sp., Eremogone sp., Bromus tectorum, Eriophyllum lanatum, Penstemon deustus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
